id,stop,station,location,include,prefer,shape
30161,18th (Loop-bound),18th (Pink Line),"(41.857908, -87.669147)",FALSE,FALSE,
30162,18th (54th/Cermak-bound),18th (Pink Line),"(41.857908, -87.669147)",FALSE,FALSE,
30022,35th/Archer (Loop-bound),35th/Archer (Orange Line),"(41.829353, -87.680622)",FALSE,FALSE,
30023,35th/Archer (Midway-bound),35th/Archer (Orange Line),"(41.829353, -87.680622)",FALSE,FALSE,
30213,35-Bronzeville-IIT (Harlem-bound),35th-Bronzeville-IIT (Green Line),"(41.831677, -87.625826)",FALSE,FALSE,
30214,35-Bronzeville-IIT (63rd-bound),35th-Bronzeville-IIT (Green Line),"(41.831677, -87.625826)",FALSE,FALSE,
30245,43rd (Harlem-bound),43rd (Green Line),"(41.816462, -87.619021)",FALSE,FALSE,
30246,43rd (63rd-bound),43rd (Green Line),"(41.816462, -87.619021)",FALSE,FALSE,
30210,47th (63rd-bound),47th (Green Line),"(41.809209, -87.618826)",FALSE,FALSE,
30237,47th (Howard-bound),47th (Red Line),"(41.810318, -87.63094)",FALSE,FALSE,
30209,47th (Harlem-bound),47th (Green Line),"(41.809209, -87.618826)",FALSE,FALSE,
30238,47th (95th-bound),47th (Red Line),"(41.810318, -87.63094)",FALSE,FALSE,
30024,51st (Harlem-bound),51st (Green Line),"(41.80209, -87.618487)",FALSE,FALSE,
30025,51st (63rd-bound),51st (Green Line),"(41.80209, -87.618487)",FALSE,FALSE,
30113,54th/Cermak (Loop-bound),54th/Cermak (Pink Line),"(41.85177331, -87.75669201)",FALSE,FALSE,
30114,54th/Cermak (Terminal arrival),54th/Cermak (Pink Line),"(41.85177331, -87.75669201)",FALSE,FALSE,
30177,63rd (Howard-bound),63rd (Red Line),"(41.780536, -87.630952)",FALSE,FALSE,
30178,63rd (95th-bound),63rd (Red Line),"(41.780536, -87.630952)",FALSE,FALSE,
30191,69th (Howard-bound),69th (Red Line),"(41.768367, -87.625724)",FALSE,FALSE,
30192,69th (95th-bound),69th (Red Line),"(41.768367, -87.625724)",FALSE,FALSE,
30046,79th (Howard-bound),79th (Red Line),"(41.750419, -87.625112)",FALSE,FALSE,
30047,79th (95th-bound),79th (Red Line),"(41.750419, -87.625112)",FALSE,FALSE,
30275,87th (Howard-bound),87th (Red Line),"(41.735372, -87.624717)",FALSE,FALSE,
30276,87th (95th-bound),87th (Red Line),"(41.735372, -87.624717)",FALSE,FALSE,
30089,95th/Dan Ryan (95th-bound),95th/Dan Ryan (Red Line),"(41.722377, -87.624342)",FALSE,FALSE,
30088,95th/Dan Ryan (Howard-bound),95th/Ran Ryan (Red Line),"(41.722377, -87.624342)",FALSE,FALSE,
30132,Adams/Wabash (Inner Loop),"Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)","(41.879507, -87.626037)",FALSE,FALSE,
30131,Adams/Wabash (Outer Loop),"Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)","(41.879507, -87.626037)",FALSE,FALSE,
30240,Addison (Forest Pk-bound),Addison (Blue Line),"(41.94738, -87.71906)",FALSE,FALSE,
30277,Addison (Kimball-bound),Addison (Brown Line),"(41.947028, -87.674642)",FALSE,FALSE,
30274,Addison (95th-bound),Addison (Red Line),"(41.947428, -87.653626)",FALSE,FALSE,
30278,Addison (Loop-bound),Addison (Brown Line),"(41.947028, -87.674642)",FALSE,FALSE,
30273,Addison (Howard-bound),Addison (Red Line),"(41.947428, -87.653626)",FALSE,FALSE,
